Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,968560,-,-,-,33.65,-84.46,-5,306,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,18,0,0,0,3,18,0,0,0,0,100,169.08,0.14,977,3.3000000000000003,206,1.1,0.0000,0.0000
2022,1,1,1,30,18.3,0,0,0,0,18.3,0,0,0,0,100,164.91,0.14,977,3.2,211,1.2000000000000002,0.0000,0.0000
2022,1,1,2,30,18.400000000000002,0,0,0,0,18.400000000000002,0,0,0,0,100,153.91,0.14,977,3,213,1.3,0.0000,0.0000
2022,1,1,3,30,18.5,0,0,0,3,18.5,0,0,0,0,100,141.66,0.14,977,2.8000000000000003,212,1.5,0.0000,0.0000
2022,1,1,4,30,18.6,0,0,0,0,18.6,0,0,0,0,100,129.18,0.14,976,2.7,210,1.6,0.0000,0.0000
2022,1,1,5,30,18.7,0,0,0,0,18.7,0,0,0,0,100,116.81,0.14,976,2.6,210,1.6,0.0000,0.0000
2022,1,1,6,30,18.7,0,0,0,0,18.7,0,0,0,0,100,104.73,0.14,976,2.6,211,1.6,0.0000,0.0000
2022,1,1,7,30,19,0,0,0,0,18.900000000000002,0,0,0,0,99.41,93.14,0.14,977,2.7,211,1.7000000000000002,0.0000,0.0000
2022,1,1,8,30,20,35,486,101,0,19.400000000000002,41,335,0,86,96.53,82.22,0.14,977,2.9000000000000004,208,2.1,0.0000,0.0000
2022,1,1,9,30,21.200000000000003,51,725,268,0,20.3,86,468,0,226,94.34,72.60000000000001,0.14,977,3,207,2.5,11.2965,8.7163
2022,1,1,10,30,22.400000000000002,58,828,413,3,20.400000000000002,120,43,0,138,88.71000000000001,64.64,0.14,977,3,208,3,7.3802,5.7462
2022,1,1,11,30,23.3,63,876,513,3,20,86,0,0,86,81.83,59.08,0.14,976,3,210,3.2,4.7664,3.7246
2022,1,1,12,30,23.900000000000002,67,886,554,3,19.6,179,305,0,347,76.71000000000001,56.64,0.14,975,3.1,212,3.3000000000000003,19.4822,15.2417
2022,1,1,13,30,23.900000000000002,71,865,533,0,19.200000000000003,163,576,0,470,75.12,57.74,0.14,974,3.1,213,3.1,26.2394,20.5178
2022,1,1,14,30,23.5,69,826,454,3,19.200000000000003,140,56,0,166,77.06,62.18,0.14,973,3.2,211,2.7,9.0293,7.0429
2022,1,1,15,30,22.700000000000003,59,752,325,0,19.6,86,557,0,283,82.87,69.31,0.14,973,3.2,206,2.3000000000000003,14.5767,11.2976
2022,1,1,16,30,21.400000000000002,45,579,162,3,19.900000000000002,58,1,0,58,90.89,78.38,0.14,973,3.3000000000000003,202,1.9000000000000001,2.7711,2.1165
2022,1,1,17,30,20.200000000000003,13,126,16,4,19.5,5,0,71,5,95.76,88.56,0.14,973,3.4000000000000004,199,1.9000000000000001,0.0000,0.0000
2022,1,1,18,30,19.8,0,0,0,3,19.3,0,0,0,0,97.04,100.21000000000001,0.14,973,3.5,199,2.3000000000000003,0.0000,0.0000
2022,1,1,19,30,19.6,0,0,0,3,19.3,0,0,0,0,98.13,112.13,0.14,973,3.4000000000000004,198,2.4000000000000004,0.0000,0.0000
2022,1,1,20,30,19.3,0,0,0,3,19.200000000000003,0,0,0,0,99.19,124.41,0.14,973,3.3000000000000003,197,2.4000000000000004,0.0000,0.0000
2022,1,1,21,30,19.200000000000003,0,0,0,7,19.1,0,0,0,0,99.55,136.87,0.14,973,3.2,198,2.4000000000000004,0.0000,0.0000
2022,1,1,22,30,19.200000000000003,0,0,0,3,19.200000000000003,0,0,0,0,100,149.26,0.14,973,3,201,2.5,0.0000,0.0000
2022,1,1,23,30,19.400000000000002,0,0,0,3,19.200000000000003,0,0,0,0,99.06,160.97,0.14,972,3,206,2.9000000000000004,0.0000,0.0000
2022,1,2,0,30,19.5,0,0,0,0,19.3,0,0,0,0,98.82000000000001,168.97,0.14,972,3,210,3.2,0.0000,0.0000
2022,1,2,1,30,19.6,0,0,0,0,19.3,0,0,0,0,98.05,164.92000000000002,0.14,972,3.1,211,3.2,0.0000,0.0000
2022,1,2,2,30,19.6,0,0,0,3,19.3,0,0,0,0,97.94,153.96,0.14,972,3.3000000000000003,213,3.3000000000000003,0.0000,0.0000
2022,1,2,3,30,19.5,0,0,0,7,19.200000000000003,0,0,0,0,98.35000000000001,141.72,0.14,971,3.5,216,3.2,0.0000,0.0000
2022,1,2,4,30,19.3,0,0,0,7,19.200000000000003,0,0,0,0,99.63,129.24,0.14,972,3.7,217,3,0.0000,0.0000
2022,1,2,5,30,19,0,0,0,7,19,0,0,0,0,100,116.86,0.14,972,3.9000000000000004,217,2.7,0.0000,0.0000
2022,1,2,6,30,18.8,0,0,0,6,18.8,0,0,0,0,100,104.77,0.14,972,4.1000000000000005,217,2.2,0.0000,0.0000
2022,1,2,7,30,18.5,0,0,0,7,18.5,0,0,14,0,100,93.18,0.14,973,4.2,240,1.3,0.0000,0.0000
2022,1,2,8,30,18.1,36,455,97,7,18.1,14,0,57,14,100,82.24,0.14,974,4,292,1.4000000000000001,0.0000,0.0000
2022,1,2,9,30,17.400000000000002,57,686,262,4,17.400000000000002,75,2,0,76,100,72.60000000000001,0.14,976,3.6,335,1.9000000000000001,3.7988,2.9311
2022,1,2,10,30,16.6,71,783,407,4,16.1,87,1,0,87,97.16,64.62,0.14,976,3.3000000000000003,181,1.6,4.6534,3.6232
2022,1,2,11,30,16.400000000000002,76,840,508,8,15,31,0,0,31,91.24,59.02,0.14,976,3.3000000000000003,14,1.1,1.7187,1.3431
2022,1,2,12,30,16,79,852,549,8,13.600000000000001,32,0,14,32,85.93,56.56,0.14,975,3.3000000000000003,181,0.8,1.7973,1.4062
2022,1,2,13,30,15.600000000000001,82,837,530,7,12.600000000000001,49,0,0,49,82.26,57.63,0.14,975,3.3000000000000003,191,0.5,2.7372,2.1404
2022,1,2,14,30,15.200000000000001,78,799,452,6,12.5,26,0,0,26,83.96000000000001,62.050000000000004,0.14,974,3.3000000000000003,68,0.7000000000000001,1.4154,1.1041
2022,1,2,15,30,14.700000000000001,69,716,323,7,12.700000000000001,25,0,0,25,87.89,69.18,0.14,973,3.3000000000000003,112,0.9,1.2892,0.9993
2022,1,2,16,30,14.100000000000001,53,527,160,5,13,36,1,0,36,93.3,78.24,0.14,973,3.3000000000000003,121,0.9,1.7210,1.3148
2022,1,2,17,30,13.700000000000001,14,95,17,8,13.200000000000001,5,0,71,5,96.68,88.42,0.14,973,3.5,103,0.8,0.0000,0.0000
2022,1,2,18,30,13.4,0,0,0,8,13.200000000000001,0,0,0,0,98.82000000000001,100.07000000000001,0.14,972,3.7,67,0.9,0.0000,0.0000
2022,1,2,19,30,13.200000000000001,0,0,0,7,13.200000000000001,0,0,0,0,99.93,111.99000000000001,0.14,971,3.9000000000000004,193,1.2000000000000002,0.0000,0.0000
2022,1,2,20,30,13,0,0,0,7,13,0,0,0,0,100,124.28,0.14,970,3.7,339,1.7000000000000002,0.0000,0.0000
2022,1,2,21,30,12.600000000000001,0,0,0,7,12.600000000000001,0,0,0,0,100,136.74,0.14,969,3.3000000000000003,327,2,0.0000,0.0000
2022,1,2,22,30,11.4,0,0,0,7,11.4,0,0,0,0,100,149.12,0.14,968,3.1,300,2.7,0.0000,0.0000
2022,1,2,23,30,8.200000000000001,0,0,0,7,8.200000000000001,0,0,0,0,100,160.83,0.14,969,2.7,283,4.4,0.0000,0.0000
2022,1,3,0,30,4.7,0,0,0,4,4.7,0,0,0,0,100,168.86,0.14,970,2,285,4.9,0.0000,0.0000
2022,1,3,1,30,2.9000000000000004,0,0,0,4,2.1,0,0,0,0,94.36,164.92000000000002,0.14,972,1.5,287,4.5,0.0000,0.0000
